latitude,longitude,city,state,county,zip_code,fips_code
26.8396,-80.1019,West Palm Beach,FL,Palm Beach County,33410,12099
32.9412,-97.1342,Southlake,TX,Tarrant County,76092,48121
32.2687,-107.7586,Deming,NM,Luna County,88030,35029
39.7256,-85.8907,New Palestine,IN,Hancock County,46163,18059
39.3722,-104.8561,Castle Rock,CO,Douglas County,80104,08035
41.2568,-95.9342,Omaha,NE,Douglas County,68102,31055
34.7541,-77.4302,Jacksonville,NC,Onslow County,28540,37133
42.1292,-80.0851,Erie,PA,Erie County,16501,42049
33.1963,-80.0143,Moncks Corner,SC,Berkeley County,29461,45015
34.8526,-82.394,Greenville,SC,Greenville County,29601,45045
43.1789,-88.1173,Menomonee Falls,WI,Waukesha County,53051,55131
38.7317,-82.9977,Portsmouth,OH,Scioto County,45662,39145
44.2619,-88.4154,Appleton,WI,Outagamie County,54911,55087
39.1834,-96.5713,Manhattan,KS,Riley County,66502,20061
34.1361,-117.8653,Glendora,CA,Los Angeles County,91741,06037
34.953,-120.4357,Santa Maria,CA,Santa Barbara County,93454,06079
46.8208,-94.5142,Backus,MN,Cass County,56435,27021
32.9342,-97.078,Grapevine,TX,Tarrant County,76051,48113
40.3972,-105.0742,Loveland,CO,Larimer County,80538,08069
33.9375,-117.2306,Moreno Valley,CA,Riverside County,92553,06065
32.2656,-97.1778,Grandview,TX,Johnson County,76050,48139
34.1083,-117.2897,San Bernardino,CA,San Bernardino County,92401,06071
34.0564,-79.2464,Galivants Ferry,SC,Horry County,29544,45051
42.0853,-76.8092,Elmira,NY,Chemung County,14904,36015
29.9546,-90.075,New Orleans,LA,Orleans Parish,70112,22071
37.208,-93.2903,Springfield,MO,Greene County,65806,29077
41.7481,-88.1656,Naperville,IL,Dupage County,60565,17043
34.6834,-82.8374,Clemson,SC,Pickens County,29631,45007
27.3364,-82.5307,Sarasota,FL,Sarasota County,34236,12115
40.804,-124.1654,Eureka,CA,Humboldt County,95501,06023
38.5725,-109.5497,Moab,UT,Grand County,84532,49019
34.2581,-88.7046,Tupelo,MS,Lee County,38804,28057
38.8689,-76.9763,Washington,DC,District of Columbia,20020,11001
42.7261,-87.7829,Racine,WI,Racine County,53403,55059
36.3729,-94.2088,Bentonville,AR,Benton County,72712,05007
41.0814,-81.519,Akron,OH,Summit County,44308,39153
41.3078,-75.3209,Newfoundland,PA,Wayne County,18445,42103
39.3331,-82.9824,Chillicothe,OH,Ross County,45601,39079
34.6948,-84.4822,Ellijay,GA,Gilmer County,30540,13123
39.7092,-84.0633,Beavercreek,OH,Greene County,45434,39057
44.8114,-91.4985,Eau Claire,WI,Eau Claire County,54701,55033
41.4822,-81.6697,Cleveland,OH,Cuyahoga County,44115,39035
34.4358,-119.8276,Goleta,CA,Santa Barbara County,93117,06083
42.5669,-92.6221,New Hartford,IA,Butler County,50660,19023
32.8323,-79.8284,Mount Pleasant,SC,Charleston County,29464,45019
32.7254,-97.3209,Fort Worth,TX,Tarrant County,76104,48439
38.0293,-78.4767,Charlottesville,VA,Charlottesville City,22902,51003
42.5846,-87.824,Kenosha,WI,Kenosha County,53140,55059
30.1252,-91.8335,Saint Martinville,LA,St. Martin Parish,70582,22045
38.9516,-92.3343,Columbia,MO,Boone County,65203,29019
37.5629,-122.3259,San Mateo,CA,San Mateo County,94401,06081
45.4889,-122.6747,Portland,OR,Multnomah County,97239,41051
37.5485,-121.9882,Fremont,CA,Alameda County,94538,06001
40.3101,-75.1299,Doylestown,PA,Bucks County,18901,42017
44.1004,-70.2148,Lewiston,ME,Androscoggin County,04240,23001
37.3771,-77.5058,Chesterfield,VA,Chesterfield County,23832,51041
46.0645,-118.343,Walla Walla,WA,Walla Walla County,99362,53071
36.0397,-114.9819,Henderson,NV,Clark County,89015,32003
35.6875,-105.9386,Santa Fe,NM,Santa Fe County,87501,35049
47.6596,-117.429,Spokane,WA,Spokane County,99201,53063
46.8721,-113.994,Missoula,MT,Missoula County,59802,30063
42.7875,-86.1089,Holland,MI,Ottawa County,49423,26005
39.8667,-84.3,Englewood,OH,Montgomery County,45322,39109
32.5437,-86.2119,Wetumpka,AL,Elmore County,36092,01051
41.4261,-73.6789,Carmel,NY,Putnam County,10512,36079
29.6977,-90.7864,Gray,LA,Terrebonne Parish,70359,22057
41.9265,-73.9988,Kingston,NY,Ulster County,12401,36111
43.3095,-73.644,Glens Falls,NY,Warren County,12801,36113
33.0096,-83.5338,Gray,GA,Jones County,31032,13169
33.4252,-111.9402,Tempe,AZ,Maricopa County,85281,04013
36.8525,-121.4016,Hollister,CA,San Benito County,95023,06069
34.9478,-97.9239,Ninnekah,OK,Grady County,73067,40051
41.9439,-71.2806,Attleboro,MA,Bristol County,02703,25005
46.358,-94.2008,Brainerd,MN,Crow Wing County,56401,27021
33.2381,-96.7865,Prosper,TX,Collin County,75078,48085
40.9629,-74.1329,Glen Rock,NJ,Bergen County,07452,34003
41.794,-87.7038,Chicago,IL,Cook County,60632,17031
41.5934,-87.3464,Gary,IN,Lake County,46402,18089
39.5523,-84.2333,Springboro,OH,Warren County,45066,39113
33.9526,-84.5499,Marietta,GA,Cobb County,30060,13067
41.6675,-86.1714,Mishawaka,IN,St. Joseph County,46545,18141
46.7869,-92.0981,Duluth,MN,St. Louis County,55802,27137
35.0456,-85.3097,Chattanooga,TN,Hamilton County,37402,47065
34.7294,-86.5845,Huntsville,AL,Madison County,35801,01089
47.6732,-117.2394,Spokane,WA,Spokane County,99206,53063
31.9383,-81.3034,Richmond Hill,GA,Bryan County,31324,13029
30.2841,-81.3961,Jacksonville Beach,FL,Duval County,32250,12031
42.5292,-85.8553,Allegan,MI,Allegan County,49010,26005
38.5015,-90.6499,Eureka,MO,St. Louis County,63025,29099
39.3641,-74.4231,Atlantic City,NJ,Atlantic County,08401,34001
44.9181,-73.1243,Swanton,VT,Franklin County,05488,50011
37.7395,-121.426,Tracy,CA,San Joaquin County,95376,06077
39.8726,-74.2951,Forked River,NJ,Ocean County,08731,34029
42.4966,-96.4052,Sioux City,IA,Woodbury County,51101,19193
43.4578,-88.8373,Beaver Dam,WI,Dodge County,53916,55027
40.9488,-74.2403,Wayne,NJ,Passaic County,07470,34031
36.4073,-105.5731,Taos,NM,Taos County,87571,35055
37.5841,-122.366,Burlingame,CA,San Mateo County,94010,06081
38.7746,-75.1394,Lewes,DE,Sussex County,19958,10005
47.2528,-122.4442,Tacoma,WA,Pierce County,98402,53053
38.3539,-121.9728,Vacaville,CA,Solano County,95687,06095
48.0517,-122.177,Marysville,WA,Snohomish County,98270,53061
39.7817,-89.6481,Springfield,IL,Sangamon County,62703,17167
43.0125,-83.6875,Flint,MI,Genesee County,48502,26049
40.6058,-74.135,Staten Island,NY,Richmond County,10314,36085
37.5388,-77.4336,Richmond,VA,Richmond City,23219,51760
39.1013,-94.5789,Kansas City,MO,Jackson County,64106,29095
39.0461,-76.0644,Centreville,MD,Queen Anne's County,21617,24035
48.4123,-114.3347,Whitefish,MT,Flathead County,59937,30029
